Student_ID,Date,Time,Bhawan,Location,Mess_Entry_Time,Mess_Exit_Time,Library_Entry_Time,Library_Exit_Time,Leaves_Hostel,Back_Hostel,WiFi_MB,Active_Users,Electricity_Usage,Food_Category,Attendance,Auto_Taken,Exam_Season,Sleep_Hours
S1000,2026-04-05,05:12 AM,Sarojini,Outside,0,0,0,0,04:04 AM,07:55 AM,211.23,71,7.58,None,0,0,0,8
S1001,2026-04-15,02:26 PM,Ganga,Hostel,0,0,0,0,0,0,146.33,130,34.6,None,0,0,0,7
S1002,2026-04-03,01:01 PM,Rajendra,Library,0,0,11:41 AM,01:04 PM,11:14 AM,01:46 PM,867.72,49,10.35,None,1,0,0,10
S1003,2026-04-12,12:50 PM,Yamuna,Library,0,0,10:42 AM,01:11 PM,10:15 AM,01:51 PM,901.74,184,20.39,None,1,0,0,14
S1004,2026-04-16,01:16 PM,Ganga,Mess,01:14 PM,01:48 PM,0,0,0,0,343.61,130,41.95,Lunch,1,0,0,8
S1005,2026-04-07,06:44 PM,Ganga,Hostel,0,0,0,0,0,0,152.31,171,23.57,None,0,0,0,6
S1006,2026-04-06,09:52 AM,Sarojini,Library,0,0,09:45 AM,11:03 AM,09:22 AM,11:39 AM,706.73,101,20.27,None,0,0,0,6
S1007,2026-04-08,09:50 PM,Yamuna,Outside,0,0,0,0,08:48 PM,11:59 PM,353.01,53,5.33,None,0,0,0,10
S1008,2026-04-07,08:27 AM,Rajendra,Mess,07:56 AM,08:30 AM,0,0,0,0,350.29,150,56.61,Breakfast,0,0,0,7
S1009,2026-04-29,08:44 AM,Rajendra,Outside,0,0,0,0,07:22 AM,11:26 AM,277.49,98,5.66,None,0,0,1,5
S1010,2026-04-03,03:11 PM,Sarojini,Mess,02:51 PM,03:33 PM,0,0,0,0,417.63,50,40.23,Lunch,1,0,0,5
S1011,2026-04-02,08:43 PM,Rajendra,Library,0,0,08:08 PM,10:37 PM,07:56 PM,10:59 PM,694.37,200,39.4,None,0,0,0,7
S1012,2026-04-19,12:51 PM,Yamuna,Mess,12:41 PM,01:34 PM,0,0,0,0,322.44,156,51.3,Lunch,0,0,0,4
S1013,2026-05-01,04:02 AM,Sarojini,Hostel,0,0,0,0,0,0,334.07,38,20.03,None,0,0,0,7
S1014,2026-04-07,04:34 AM,Yamuna,Hostel,0,0,0,0,0,0,275.68,82,26.92,None,0,0,0,7
S1015,2026-04-26,04:54 PM,Sarojini,Library,0,0,10:08 AM,06:44 PM,09:49 AM,06:54 PM,929.3,131,25.14,None,1,1,1,8
S1016,2026-04-05,10:02 AM,Azad,Hostel,0,0,0,0,0,0,365.17,62,26.63,None,0,0,0,6
S1017,2026-04-01,08:23 AM,Azad,Mess,08:11 AM,08:34 AM,0,0,0,0,416.69,28,32.82,Breakfast,0,0,0,5
S1018,2026-04-06,04:42 PM,Rajendra,Library,0,0,03:31 PM,04:59 PM,03:15 PM,05:28 PM,730.91,54,20.53,None,0,0,0,7
S1019,2026-04-24,01:58 PM,Ganga,Mess,01:38 PM,02:18 PM,0,0,0,0,406.28,48,25.74,Lunch,1,0,1,4
S1020,2026-04-17,07:30 AM,Sarojini,Mess,07:05 AM,07:58 AM,0,0,0,0,521.75,103,48.89,Breakfast,0,0,0,8
S1021,2026-04-11,07:38 AM,Yamuna,Hostel,0,0,0,0,0,0,296.29,138,24.47,None,0,0,0,6
S1022,2026-04-15,12:58 PM,Rajendra,Mess,12:25 PM,01:03 PM,0,0,0,0,395.81,102,44.95,Lunch,1,0,0,7
S1023,2026-04-04,12:18 PM,Rajendra,Mess,12:02 PM,12:52 PM,0,0,0,0,501.7,71,28.99,Lunch,0,0,0,7
S1024,2026-04-08,03:51 PM,Sarojini,Classroom,0,0,0,0,03:18 PM,05:51 PM,286.43,195,16.56,None,1,0,0,8
S1025,2026-04-15,12:59 PM,Yamuna,Mess,12:13 PM,01:09 PM,0,0,0,0,457.93,97,42.73,Lunch,0,0,0,8
S1026,2026-04-16,03:14 PM,Yamuna,Mess,02:54 PM,03:17 PM,0,0,0,0,644.78,53,39.44,Lunch,0,0,0,7
S1027,2026-04-24,07:22 AM,Ganga,Mess,07:03 AM,07:37 AM,0,0,0,0,415.18,131,42.45,Breakfast,0,0,1,4
S1028,2026-04-27,06:56 PM,Rajendra,Library,0,0,12:57 PM,07:45 PM,12:36 PM,08:35 PM,978.52,134,22.41,None,0,0,1,4
S1029,2026-04-11,01:25 PM,Azad,Classroom,0,0,0,0,01:01 PM,03:21 PM,117.21,163,17.12,None,1,0,0,6
S1030,2026-04-26,08:07 PM,Sarojini,Library,0,0,06:43 PM,11:59 PM,06:14 PM,11:59 PM,797.3,24,11.43,None,0,0,1,6
S1031,2026-04-09,08:16 PM,Azad,Mess,08:00 PM,08:32 PM,0,0,0,0,347.75,194,50.2,Dinner,0,0,0,7
S1032,2026-04-08,02:58 PM,Azad,Mess,02:47 PM,03:32 PM,0,0,0,0,477.08,21,30.03,Lunch,0,0,0,7
S1033,2026-04-05,09:52 AM,Ganga,Outside,0,0,0,0,08:12 AM,12:20 PM,315.61,76,4.38,None,1,1,0,7
S1034,2026-04-21,08:44 AM,Ganga,Mess,08:40 AM,09:02 AM,0,0,0,0,479.41,135,37.95,Breakfast,0,0,1,6
S1035,2026-04-06,09:38 PM,Sarojini,Mess,09:37 PM,09:57 PM,0,0,0,0,583.24,154,31.08,Dinner,0,0,0,7
S1036,2026-04-15,05:53 AM,Ganga,Outside,0,0,0,0,04:54 AM,07:07 AM,109.79,67,7.65,None,0,0,0,6
S1037,2026-04-26,07:42 AM,Yamuna,Mess,07:31 AM,08:24 AM,0,0,0,0,503.53,98,36.04,Breakfast,0,0,1,6
S1038,2026-04-20,04:29 PM,Azad,Hostel,0,0,0,0,0,0,189.16,15,16.69,None,0,0,1,7
S1039,2026-04-13,09:07 PM,Sarojini,Mess,08:39 PM,09:07 PM,0,0,0,0,539.98,66,45.14,Dinner,0,0,0,6
S1040,2026-04-03,09:27 PM,Yamuna,Mess,09:01 PM,09:33 PM,0,0,0,0,332.16,60,27.86,Dinner,0,0,0,7
S1041,2026-04-07,08:30 AM,Rajendra,Mess,08:21 AM,09:13 AM,0,0,0,0,292.21,78,36.28,Breakfast,0,0,0,7
S1042,2026-04-13,07:00 PM,Rajendra,Library,0,0,05:47 PM,07:34 PM,05:40 PM,08:11 PM,685.55,85,21.74,None,0,0,0,10
S1043,2026-04-20,07:04 PM,Ganga,Mess,07:01 PM,07:49 PM,0,0,0,0,361.51,175,36.86,Dinner,0,0,1,6
S1044,2026-04-09,08:10 PM,Ganga,Library,0,0,07:40 PM,08:10 PM,07:34 PM,08:49 PM,955.25,156,27.71,None,0,0,0,4
S1045,2026-04-11,08:43 PM,Azad,Library,0,0,06:26 PM,09:18 PM,06:09 PM,09:53 PM,977.51,115,22.69,None,0,0,0,8
