student_id,date,day_of_week,subject,department,status,entry_time,exit_time,is_exam_week
STU0001,2024-01-01,Monday,DBMS,CSE,Present,08:02,16:27,False
STU0001,2024-01-01,Monday,OS,CSE,Present,09:15,16:23,False
STU0001,2024-01-01,Monday,CN,CSE,Present,08:20,17:38,False
STU0001,2024-01-01,Monday,ML,CSE,Absent,,,False
STU0001,2024-01-01,Monday,DSA,CSE,Present,08:09,16:25,False
STU0001,2024-01-02,Tuesday,DBMS,CSE,Present,09:10,17:21,False
STU0001,2024-01-02,Tuesday,OS,CSE,Present,08:09,17:38,False
STU0001,2024-01-02,Tuesday,CN,CSE,Absent,,,False
STU0001,2024-01-02,Tuesday,ML,CSE,Present,09:05,17:20,False
STU0001,2024-01-02,Tuesday,DSA,CSE,Present,09:18,16:20,False
STU0001,2024-01-03,Wednesday,DBMS,CSE,Present,09:11,16:59,False
STU0001,2024-01-03,Wednesday,OS,CSE,Present,08:17,16:46,False
STU0001,2024-01-03,Wednesday,CN,CSE,Present,08:14,17:53,False
STU0001,2024-01-03,Wednesday,ML,CSE,Present,09:15,16:40,False
STU0001,2024-01-03,Wednesday,DSA,CSE,Present,09:04,18:27,False
STU0001,2024-01-04,Thursday,DBMS,CSE,Present,08:14,18:30,False
STU0001,2024-01-04,Thursday,OS,CSE,Present,09:17,16:50,False
STU0001,2024-01-04,Thursday,CN,CSE,Present,08:03,16:42,False
STU0001,2024-01-04,Thursday,ML,CSE,Present,08:20,18:02,False
STU0001,2024-01-04,Thursday,DSA,CSE,Present,,17:06,False
STU0001,2024-01-05,Friday,DBMS,CSE,Present,09:07,18:47,False
STU0001,2024-01-05,Friday,OS,CSE,Present,08:14,17:25,False
STU0001,2024-01-05,Friday,CN,CSE,Present,08:11,16:30,False
STU0001,2024-01-05,Friday,ML,CSE,Present,09:02,16:53,False
STU0001,2024-01-05,Friday,DSA,CSE,Present,08:11,17:21,False
STU0001,2024-01-06,Saturday,DBMS,CSE,Present,08:16,17:22,False
STU0001,2024-01-06,Saturday,OS,CSE,Present,09:14,17:04,False
STU0001,2024-01-06,Saturday,CN,CSE,Present,08:00,17:41,False
STU0001,2024-01-06,Saturday,ML,CSE,Present,08:07,18:11,False
STU0001,2024-01-06,Saturday,DSA,CSE,Absent,,,False
STU0001,2024-01-08,Monday,DBMS,CSE,Absent,,,False
STU0001,2024-01-08,Monday,OS,CSE,Absent,,,False
STU0001,2024-01-08,Monday,CN,CSE,Present,09:20,16:11,False
STU0001,2024-01-08,Monday,ML,CSE,Present,09:12,16:47,False
STU0001,2024-01-08,Monday,DSA,CSE,Present,08:14,18:27,False
STU0001,2024-01-09,Tuesday,DBMS,CSE,Present,08:06,17:48,False
STU0001,2024-01-09,Tuesday,OS,CSE,Present,08:18,16:51,False
STU0001,2024-01-09,Tuesday,CN,CSE,Present,08:11,17:12,False
STU0001,2024-01-09,Tuesday,ML,CSE,Present,09:15,18:40,False
STU0001,2024-01-09,Tuesday,DSA,CSE,Absent,,,False
STU0001,2024-01-10,Wednesday,DBMS,CSE,Present,09:18,16:22,False
STU0001,2024-01-10,Wednesday,OS,CSE,Present,09:19,16:52,False
STU0001,2024-01-10,Wednesday,CN,CSE,Present,09:19,18:05,False
STU0001,2024-01-10,Wednesday,ML,CSE,Present,09:03,16:19,False
