record_id,date,day_type,building,time_slot,consumption_kwh,meter_reading_kwh,is_exam_week,is_anomaly,month,rolling_3d_avg,anomaly_score,bld_enc,slot_enc,dow,predicted_anomaly
ELEC000001,2024-01-01,weekday,Academic Block A,06-08,0.972,1325.12,False,False,1,0.972,1.0,0,0,0,0
ELEC000002,2024-01-01,weekday,Academic Block A,08-10,2.667,1327.79,False,False,1,2.667,1.0,0,1,0,0
ELEC000003,2024-01-01,weekday,Academic Block A,10-12,3.652,1331.44,False,False,1,3.652,1.0,0,2,0,1
ELEC000004,2024-01-01,weekday,Academic Block A,12-14,2.789,1334.23,False,False,1,2.789,1.0,0,3,0,0
ELEC000005,2024-01-01,weekday,Academic Block A,14-16,2.895,1337.12,False,False,1,2.895,1.0,0,4,0,0
ELEC000006,2024-01-01,weekday,Academic Block A,16-18,2.774,1339.89,False,False,1,2.774,1.0,0,5,0,0
ELEC000007,2024-01-01,weekday,Academic Block A,18-20,2.064,1341.95,False,False,1,2.064,1.0,0,6,0,0
ELEC000008,2024-01-01,weekday,Academic Block A,20-22,1.76,1343.71,False,False,1,1.76,1.0,0,7,0,0
ELEC000009,2024-01-01,weekday,Academic Block A,22-00,0.804,1344.51,False,False,1,0.804,1.0,0,8,0,0
ELEC000010,2024-01-01,weekday,Academic Block B,06-08,0.866,4799.79,False,False,1,0.866,1.0,1,0,0,0
ELEC000011,2024-01-01,weekday,Academic Block B,08-10,2.573,4802.36,False,False,1,2.573,1.0,1,1,0,0
ELEC000012,2024-01-01,weekday,Academic Block B,10-12,3.219,4805.58,False,False,1,3.219,1.0,1,2,0,0
ELEC000013,2024-01-01,weekday,Academic Block B,12-14,2.766,4808.35,False,False,1,2.766,1.0,1,3,0,0
ELEC000014,2024-01-01,weekday,Academic Block B,14-16,3.304,4811.65,False,False,1,3.304,1.0,1,4,0,0
ELEC000015,2024-01-01,weekday,Academic Block B,16-18,2.658,4814.31,False,False,1,2.658,1.0,1,5,0,0
ELEC000016,2024-01-01,weekday,Academic Block B,18-20,2.085,4816.4,False,False,1,2.085,1.0,1,6,0,0
ELEC000017,2024-01-01,weekday,Academic Block B,20-22,1.751,4818.15,False,False,1,1.751,1.0,1,7,0,0
ELEC000018,2024-01-01,weekday,Academic Block B,22-00,0.648,4818.8,False,False,1,0.648,1.0,1,8,0,0
ELEC000019,2024-01-01,weekday,Hostel Block 1,06-08,0.485,3452.18,False,False,1,0.485,1.0,2,0,0,0
ELEC000020,2024-01-01,weekday,Hostel Block 1,08-10,1.573,3899.35,False,False,1,1.573,1.0,2,1,0,0
ELEC000021,2024-01-01,weekday,Hostel Block 1,10-12,1.507,3455.26,False,False,1,1.507,1.0,2,2,0,0
ELEC000022,2024-01-01,weekday,Hostel Block 1,12-14,1.628,3456.89,False,False,1,1.628,1.0,2,3,0,0
ELEC000023,2024-01-01,weekday,Hostel Block 1,14-16,1.538,3458.43,False,False,1,1.538,1.0,2,4,0,0
ELEC000024,2024-01-01,weekday,Hostel Block 1,16-18,1.173,3459.6,False,False,1,1.173,1.0,2,5,0,0
ELEC000025,2024-01-01,weekday,Hostel Block 1,18-20,1.07,3460.67,False,False,1,1.07,1.0,2,6,0,0
ELEC000026,2024-01-01,weekday,Hostel Block 1,20-22,0.851,3461.52,False,False,1,0.851,1.0,2,7,0,0
ELEC000027,2024-01-01,weekday,Hostel Block 1,22-00,0.364,3461.88,False,False,1,0.364,1.0,2,8,0,0
ELEC000028,2024-01-01,weekday,Hostel Block 2,06-08,0.425,3200.56,False,False,1,0.425,1.0,3,0,0,0
ELEC000029,2024-01-01,weekday,Hostel Block 2,08-10,1.321,3201.88,False,False,1,1.321,1.0,3,1,0,0
ELEC000030,2024-01-01,weekday,Hostel Block 2,10-12,1.657,3203.54,False,False,1,1.657,1.0,3,2,0,0
ELEC000031,2024-01-01,weekday,Hostel Block 2,12-14,1.538,3205.08,False,False,1,1.538,1.0,3,3,0,0
ELEC000032,2024-01-01,weekday,Hostel Block 2,14-16,1.63,3206.71,False,False,1,1.63,1.0,3,4,0,0
ELEC000033,2024-01-01,weekday,Hostel Block 2,16-18,1.387,3208.1,False,False,1,1.387,1.0,3,5,0,0
ELEC000034,2024-01-01,weekday,Hostel Block 2,18-20,1.161,3209.26,False,False,1,1.161,1.0,3,6,0,0
ELEC000035,2024-01-01,weekday,Hostel Block 2,20-22,1.045,3210.31,False,False,1,1.045,1.0,3,7,0,0
ELEC000036,2024-01-01,weekday,Hostel Block 2,22-00,0.457,3210.77,False,False,1,0.457,1.0,3,8,0,0
ELEC000037,2024-01-01,weekday,Library,06-08,0.688,1452.34,False,False,1,0.688,1.0,5,0,0,0
ELEC000038,2024-01-01,weekday,Library,08-10,1.535,1453.88,False,False,1,1.535,1.0,5,1,0,0
ELEC000039,2024-01-01,weekday,Library,10-12,2.33,1456.21,False,False,1,2.33,1.0,5,2,0,0
ELEC000040,2024-01-01,weekday,Library,12-14,2.053,1458.26,False,False,1,2.053,1.0,5,3,0,0
ELEC000041,2024-01-01,weekday,Library,14-16,1.747,1460.01,False,False,1,1.747,1.0,5,4,0,0
ELEC000042,2024-01-01,weekday,Library,16-18,1.599,1461.61,False,False,1,1.599,1.0,5,5,0,0
ELEC000043,2024-01-01,weekday,Library,18-20,1.612,1463.22,False,False,1,1.612,1.0,5,6,0,0
ELEC000044,2024-01-01,weekday,Library,20-22,1.378,1464.6,False,False,1,1.378,1.0,5,7,0,0
ELEC000045,2024-01-01,weekday,Library,22-00,0.543,1465.14,False,False,1,0.543,1.0,5,8,0,0
ELEC000046,2024-01-01,weekday,Labs Complex,06-08,0.689,4236.12,False,False,1,0.689,1.0,4,0,0,0
ELEC000047,2024-01-01,weekday,Labs Complex,08-10,1.874,4237.99,False,False,1,1.874,1.0,4,1,0,0
ELEC000048,2024-01-01,weekday,Labs Complex,10-12,2.032,4240.02,False,False,1,2.032,1.0,4,2,0,0
