date,meal_type,day_of_week,is_exam_week,footfall,prev_day_footfall,rolling_7d_footfall
2024-01-01,Breakfast,Monday,False,168,168.0,168.0
2024-01-01,Dinner,Monday,False,419,168.0,419.0
2024-01-01,Lunch,Monday,False,362,168.0,362.0
2024-01-01,Snacks,Monday,False,229,168.0,229.0
2024-01-02,Breakfast,Tuesday,False,176,168.0,172.0
2024-01-02,Dinner,Tuesday,False,405,419.0,412.0
2024-01-02,Lunch,Tuesday,False,377,362.0,369.5
2024-01-02,Snacks,Tuesday,False,219,229.0,224.0
2024-01-03,Breakfast,Wednesday,False,169,176.0,171.0
2024-01-03,Dinner,Wednesday,False,420,405.0,414.6666666666667
2024-01-03,Lunch,Wednesday,False,372,377.0,370.3333333333333
2024-01-03,Snacks,Wednesday,False,215,219.0,221.0
2024-01-04,Breakfast,Thursday,False,164,169.0,169.25
2024-01-04,Dinner,Thursday,False,432,420.0,419.0
2024-01-04,Lunch,Thursday,False,378,372.0,372.25
2024-01-04,Snacks,Thursday,False,219,215.0,220.5
2024-01-05,Breakfast,Friday,False,181,164.0,171.6
2024-01-05,Dinner,Friday,False,390,432.0,413.2
2024-01-05,Lunch,Friday,False,389,378.0,375.6
2024-01-05,Snacks,Friday,False,223,219.0,221.0
2024-01-06,Breakfast,Saturday,False,170,181.0,171.33333333333334
2024-01-06,Dinner,Saturday,False,416,390.0,413.6666666666667
2024-01-06,Lunch,Saturday,False,373,389.0,375.1666666666667
2024-01-06,Snacks,Saturday,False,228,223.0,222.16666666666666
2024-01-07,Breakfast,Sunday,False,97,170.0,160.71428571428572
2024-01-07,Dinner,Sunday,False,417,416.0,414.14285714285717
2024-01-07,Lunch,Sunday,False,372,373.0,374.7142857142857
2024-01-07,Snacks,Sunday,False,222,228.0,222.14285714285714
2024-01-08,Breakfast,Monday,False,179,97.0,162.28571428571428
2024-01-08,Dinner,Monday,False,418,417.0,414.0
2024-01-08,Lunch,Monday,False,368,372.0,375.57142857142856
2024-01-08,Snacks,Monday,False,226,222.0,221.71428571428572
2024-01-09,Breakfast,Tuesday,False,155,179.0,159.28571428571428
2024-01-09,Dinner,Tuesday,False,405,418.0,414.0
2024-01-09,Lunch,Tuesday,False,379,368.0,375.85714285714283
2024-01-09,Snacks,Tuesday,False,211,226.0,220.57142857142858
2024-01-10,Breakfast,Wednesday,False,157,155.0,157.57142857142858
2024-01-10,Dinner,Wednesday,False,393,405.0,410.14285714285717
2024-01-10,Lunch,Wednesday,False,375,379.0,376.2857142857143
2024-01-10,Snacks,Wednesday,False,225,211.0,222.0
2024-01-11,Breakfast,Thursday,False,175,157.0,159.14285714285714
2024-01-11,Dinner,Thursday,False,421,393.0,408.57142857142856
2024-01-11,Lunch,Thursday,False,376,375.0,376.0
2024-01-11,Snacks,Thursday,False,222,225.0,222.42857142857142
2024-01-12,Breakfast,Friday,False,188,175.0,160.14285714285714
2024-01-12,Dinner,Friday,False,412,421.0,411.7142857142857
2024-01-12,Lunch,Friday,False,383,376.0,375.14285714285717
2024-01-12,Snacks,Friday,False,225,222.0,222.71428571428572
2024-01-13,Breakfast,Saturday,False,179,188.0,161.42857142857142
2024-01-13,Dinner,Saturday,False,406,412.0,410.2857142857143
2024-01-13,Lunch,Saturday,False,375,383.0,375.42857142857144
2024-01-13,Snacks,Saturday,False,241,225.0,224.57142857142858
2024-01-14,Breakfast,Sunday,False,83,179.0,159.42857142857142
2024-01-14,Dinner,Sunday,False,414,406.0,409.85714285714283
2024-01-14,Lunch,Sunday,False,387,375.0,377.57142857142856
2024-01-14,Snacks,Sunday,False,231,241.0,225.85714285714286
2024-01-15,Breakfast,Monday,False,152,83.0,155.57142857142858
2024-01-15,Dinner,Monday,False,422,414.0,410.42857142857144
2024-01-15,Lunch,Monday,False,375,387.0,378.57142857142856
2024-01-15,Snacks,Monday,False,229,231.0,226.28571428571428
2024-01-16,Breakfast,Tuesday,False,177,152.0,158.71428571428572
2024-01-16,Dinner,Tuesday,False,403,422.0,410.14285714285717
2024-01-16,Lunch,Tuesday,False,374,375.0,377.85714285714283
2024-01-16,Snacks,Tuesday,False,251,229.0,232.0
2024-01-17,Breakfast,Wednesday,False,176,177.0,161.42857142857142
2024-01-17,Dinner,Wednesday,False,405,403.0,411.85714285714283
2024-01-17,Lunch,Wednesday,False,372,374.0,377.42857142857144
2024-01-17,Snacks,Wednesday,False,232,251.0,233.0
2024-01-18,Breakfast,Thursday,False,174,176.0,161.28571428571428
2024-01-18,Dinner,Thursday,False,411,405.0,410.42857142857144
2024-01-18,Lunch,Thursday,False,389,372.0,379.2857142857143
2024-01-18,Snacks,Thursday,False,234,232.0,234.71428571428572
2024-01-19,Breakfast,Friday,False,155,174.0,156.57142857142858
2024-01-19,Dinner,Friday,False,397,411.0,408.2857142857143
2024-01-19,Lunch,Friday,False,387,389.0,379.85714285714283
2024-01-19,Snacks,Friday,False,239,234.0,236.71428571428572
2024-01-20,Breakfast,Saturday,False,160,155.0,153.85714285714286
2024-01-20,Dinner,Saturday,False,419,397.0,410.14285714285717
2024-01-20,Lunch,Saturday,False,379,387.0,380.42857142857144
2024-01-20,Snacks,Saturday,False,228,239.0,234.85714285714286
2024-01-21,Breakfast,Sunday,False,116,160.0,158.57142857142858
2024-01-21,Dinner,Sunday,False,411,419.0,409.7142857142857
2024-01-21,Lunch,Sunday,False,378,379.0,379.14285714285717
2024-01-21,Snacks,Sunday,False,229,228.0,234.57142857142858
2024-01-22,Breakfast,Monday,False,169,116.0,161.0
2024-01-22,Dinner,Monday,False,419,411.0,409.2857142857143
2024-01-22,Lunch,Monday,False,377,378.0,379.42857142857144
2024-01-22,Snacks,Monday,False,237,229.0,235.71428571428572
2024-01-23,Breakfast,Tuesday,False,180,169.0,161.42857142857142
2024-01-23,Dinner,Tuesday,False,404,419.0,409.42857142857144
2024-01-23,Lunch,Tuesday,False,385,377.0,381.0
2024-01-23,Snacks,Tuesday,False,213,237.0,230.28571428571428
2024-01-24,Breakfast,Wednesday,False,154,180.0,158.28571428571428
2024-01-24,Dinner,Wednesday,False,395,404.0,408.0
2024-01-24,Lunch,Wednesday,False,359,385.0,379.14285714285717
2024-01-24,Snacks,Wednesday,False,215,213.0,227.85714285714286
2024-01-25,Breakfast,Thursday,False,162,154.0,156.57142857142858
2024-01-25,Dinner,Thursday,False,404,395.0,407.0
2024-01-25,Lunch,Thursday,False,399,359.0,380.57142857142856
2024-01-25,Snacks,Thursday,False,211,215.0,224.57142857142858
2024-01-26,Breakfast,Friday,False,175,162.0,159.42857142857142
2024-01-26,Dinner,Friday,False,407,404.0,408.42857142857144
2024-01-26,Lunch,Friday,False,371,399.0,378.2857142857143
2024-01-26,Snacks,Friday,False,226,211.0,222.71428571428572
2024-01-27,Breakfast,Saturday,False,185,175.0,163.0
2024-01-27,Dinner,Saturday,False,402,407.0,406.0
2024-01-27,Lunch,Saturday,False,386,371.0,379.2857142857143
2024-01-27,Snacks,Saturday,False,226,226.0,222.42857142857142
2024-01-28,Breakfast,Sunday,False,93,185.0,159.71428571428572
2024-01-28,Dinner,Sunday,False,394,402.0,403.57142857142856
2024-01-28,Lunch,Sunday,False,381,386.0,379.7142857142857
2024-01-28,Snacks,Sunday,False,217,226.0,220.71428571428572
2024-01-29,Breakfast,Monday,False,190,93.0,162.71428571428572
2024-01-29,Dinner,Monday,False,424,394.0,404.2857142857143
2024-01-29,Lunch,Monday,False,368,381.0,378.42857142857144
2024-01-29,Snacks,Monday,False,215,217.0,217.57142857142858
2024-01-30,Breakfast,Tuesday,False,193,190.0,164.57142857142858
2024-01-30,Dinner,Tuesday,False,417,424.0,406.14285714285717
2024-01-30,Lunch,Tuesday,False,374,368.0,376.85714285714283
2024-01-30,Snacks,Tuesday,False,231,215.0,220.14285714285714
2024-01-31,Breakfast,Wednesday,False,169,193.0,166.71428571428572
2024-01-31,Dinner,Wednesday,False,403,417.0,407.2857142857143
2024-01-31,Lunch,Wednesday,False,380,374.0,379.85714285714283
2024-01-31,Snacks,Wednesday,False,221,231.0,221.0
2024-02-01,Breakfast,Thursday,False,187,169.0,170.28571428571428
2024-02-01,Dinner,Thursday,False,401,403.0,406.85714285714283
2024-02-01,Lunch,Thursday,False,357,380.0,373.85714285714283
2024-02-01,Snacks,Thursday,False,233,221.0,224.14285714285714
2024-02-02,Breakfast,Friday,False,155,187.0,167.42857142857142
2024-02-02,Dinner,Friday,False,409,401.0,407.14285714285717
2024-02-02,Lunch,Friday,False,379,357.0,375.0
2024-02-02,Snacks,Friday,False,220,233.0,223.28571428571428
2024-02-03,Breakfast,Saturday,False,174,155.0,165.85714285714286
2024-02-03,Dinner,Saturday,False,431,409.0,411.2857142857143
2024-02-03,Lunch,Saturday,False,374,379.0,373.2857142857143
2024-02-03,Snacks,Saturday,False,233,220.0,224.28571428571428
2024-02-04,Breakfast,Sunday,False,100,174.0,166.85714285714286
2024-02-04,Dinner,Sunday,False,417,431.0,414.57142857142856
2024-02-04,Lunch,Sunday,False,382,374.0,373.42857142857144
2024-02-04,Snacks,Sunday,False,231,233.0,226.28571428571428
2024-02-05,Breakfast,Monday,False,172,100.0,164.28571428571428
2024-02-05,Dinner,Monday,False,411,417.0,412.7142857142857
2024-02-05,Lunch,Monday,False,377,382.0,374.7142857142857
2024-02-05,Snacks,Monday,False,249,231.0,231.14285714285714
2024-02-06,Breakfast,Tuesday,False,183,172.0,162.85714285714286
2024-02-06,Dinner,Tuesday,False,414,411.0,412.2857142857143
2024-02-06,Lunch,Tuesday,False,368,377.0,373.85714285714283
2024-02-06,Snacks,Tuesday,False,229,249.0,230.85714285714286
2024-02-07,Breakfast,Wednesday,False,188,183.0,165.57142857142858
2024-02-07,Dinner,Wednesday,False,411,414.0,413.42857142857144
2024-02-07,Lunch,Wednesday,False,378,368.0,373.57142857142856
2024-02-07,Snacks,Wednesday,False,237,229.0,233.14285714285714
2024-02-08,Breakfast,Thursday,False,170,188.0,163.14285714285714
2024-02-08,Dinner,Thursday,False,420,411.0,416.14285714285717
2024-02-08,Lunch,Thursday,False,374,378.0,376.0
2024-02-08,Snacks,Thursday,False,238,237.0,233.85714285714286
2024-02-09,Breakfast,Friday,False,187,170.0,167.71428571428572
2024-02-09,Dinner,Friday,False,414,420.0,416.85714285714283
2024-02-09,Lunch,Friday,False,396,374.0,378.42857142857144
2024-02-09,Snacks,Friday,False,226,238.0,234.71428571428572
2024-02-10,Breakfast,Saturday,False,177,187.0,168.14285714285714
2024-02-10,Dinner,Saturday,False,407,414.0,413.42857142857144
2024-02-10,Lunch,Saturday,False,375,396.0,378.57142857142856
2024-02-10,Snacks,Saturday,False,223,226.0,233.28571428571428
2024-02-11,Breakfast,Sunday,False,94,177.0,167.28571428571428
2024-02-11,Dinner,Sunday,False,405,407.0,411.7142857142857
2024-02-11,Lunch,Sunday,False,357,375.0,375.0
2024-02-11,Snacks,Sunday,False,216,223.0,231.14285714285714
2024-02-12,Breakfast,Monday,False,179,94.0,168.28571428571428
2024-02-12,Dinner,Monday,False,399,405.0,410.0
2024-02-12,Lunch,Monday,False,372,357.0,374.2857142857143
2024-02-12,Snacks,Monday,False,219,216.0,226.85714285714286
2024-02-13,Breakfast,Tuesday,False,188,179.0,169.0
2024-02-13,Dinner,Tuesday,False,409,399.0,409.2857142857143
2024-02-13,Lunch,Tuesday,False,371,372.0,374.7142857142857
2024-02-13,Snacks,Tuesday,False,226,219.0,226.42857142857142
2024-02-14,Breakfast,Wednesday,False,181,188.0,168.0
2024-02-14,Dinner,Wednesday,False,415,409.0,409.85714285714283
2024-02-14,Lunch,Wednesday,False,375,371.0,374.2857142857143
2024-02-14,Snacks,Wednesday,False,248,226.0,228.0
2024-02-15,Breakfast,Thursday,False,183,181.0,169.85714285714286
2024-02-15,Dinner,Thursday,False,413,415.0,408.85714285714283
2024-02-15,Lunch,Thursday,False,373,375.0,374.14285714285717
2024-02-15,Snacks,Thursday,False,211,248.0,224.14285714285714
2024-02-16,Breakfast,Friday,False,165,183.0,166.71428571428572
2024-02-16,Dinner,Friday,False,412,413.0,408.57142857142856
2024-02-16,Lunch,Friday,False,358,373.0,368.7142857142857
2024-02-16,Snacks,Friday,False,226,211.0,224.14285714285714
2024-02-17,Breakfast,Saturday,False,172,165.0,166.0
2024-02-17,Dinner,Saturday,False,416,412.0,409.85714285714283
2024-02-17,Lunch,Saturday,False,393,358.0,371.2857142857143
2024-02-17,Snacks,Saturday,False,228,226.0,224.85714285714286
2024-02-18,Breakfast,Sunday,False,99,172.0,166.71428571428572
2024-02-18,Dinner,Sunday,False,424,416.0,412.57142857142856
2024-02-18,Lunch,Sunday,False,399,393.0,377.2857142857143
2024-02-18,Snacks,Sunday,False,237,228.0,227.85714285714286
2024-02-19,Breakfast,Monday,True,214,99.0,171.71428571428572
2024-02-19,Dinner,Monday,True,450,424.0,419.85714285714283
2024-02-19,Lunch,Monday,True,388,399.0,379.57142857142856
2024-02-19,Snacks,Monday,True,243,237.0,231.28571428571428
2024-02-20,Breakfast,Tuesday,True,190,214.0,172.0
2024-02-20,Dinner,Tuesday,True,447,450.0,425.2857142857143
2024-02-20,Lunch,Tuesday,True,417,388.0,386.14285714285717
2024-02-20,Snacks,Tuesday,True,229,243.0,231.71428571428572
2024-02-21,Breakfast,Wednesday,True,190,190.0,173.28571428571428
2024-02-21,Dinner,Wednesday,True,430,447.0,427.42857142857144
2024-02-21,Lunch,Wednesday,True,388,417.0,388.0
2024-02-21,Snacks,Wednesday,True,259,229.0,233.28571428571428
2024-02-22,Breakfast,Thursday,True,207,190.0,176.71428571428572
2024-02-22,Dinner,Thursday,True,442,430.0,431.57142857142856
2024-02-22,Lunch,Thursday,True,415,388.0,394.0
2024-02-22,Snacks,Thursday,True,259,259.0,240.14285714285714
2024-02-23,Breakfast,Friday,True,213,207.0,183.57142857142858
2024-02-23,Dinner,Friday,True,435,442.0,434.85714285714283
2024-02-23,Lunch,Friday,True,397,415.0,399.57142857142856
2024-02-23,Snacks,Friday,True,251,259.0,243.71428571428572
2024-02-24,Breakfast,Saturday,True,200,213.0,187.57142857142858
2024-02-24,Dinner,Saturday,True,427,435.0,436.42857142857144
2024-02-24,Lunch,Saturday,True,393,397.0,399.57142857142856
2024-02-24,Snacks,Saturday,True,263,251.0,248.71428571428572
2024-02-25,Breakfast,Sunday,True,138,200.0,193.14285714285714
2024-02-25,Dinner,Sunday,True,431,427.0,437.42857142857144
2024-02-25,Lunch,Sunday,True,405,393.0,400.42857142857144
2024-02-25,Snacks,Sunday,True,257,263.0,251.57142857142858
2024-02-26,Breakfast,Monday,False,157,138.0,185.0
2024-02-26,Dinner,Monday,False,404,431.0,430.85714285714283
2024-02-26,Lunch,Monday,False,374,405.0,398.42857142857144
2024-02-26,Snacks,Monday,False,227,257.0,249.28571428571428
2024-02-27,Breakfast,Tuesday,False,174,157.0,182.71428571428572
2024-02-27,Dinner,Tuesday,False,402,404.0,424.42857142857144
2024-02-27,Lunch,Tuesday,False,388,374.0,394.2857142857143
2024-02-27,Snacks,Tuesday,False,203,227.0,245.57142857142858
2024-02-28,Breakfast,Wednesday,False,174,174.0,180.42857142857142
2024-02-28,Dinner,Wednesday,False,413,402.0,422.0
2024-02-28,Lunch,Wednesday,False,373,388.0,392.14285714285717
2024-02-28,Snacks,Wednesday,False,241,203.0,243.0
