student_id,date,total_mb,sessions,avg_duration
STU0001,2024-01-01,417.02,4,54.0
STU0001,2024-01-02,393.13,4,39.5
STU0001,2024-01-03,295.69,2,55.5
STU0001,2024-01-04,275.2,3,57.0
STU0001,2024-01-05,349.69,4,54.25
STU0001,2024-01-06,19.6,1,33.0
STU0001,2024-01-07,30.56,1,36.0
STU0001,2024-01-08,205.44,3,36.666666666666664
STU0001,2024-01-09,472.28000000000003,4,47.75
STU0001,2024-01-10,224.95,3,45.333333333333336
STU0001,2024-01-11,347.90999999999997,3,58.0
STU0001,2024-01-12,323.09,4,41.75
STU0001,2024-01-13,193.95,4,21.5
STU0001,2024-01-14,144.93,3,19.666666666666668
STU0001,2024-01-16,33.68,1,14.0
STU0001,2024-01-17,74.74,1,60.0
STU0001,2024-01-19,306.94,2,96.0
STU0001,2024-01-20,43.21,2,21.0
STU0001,2024-01-22,362.07,3,57.333333333333336
STU0001,2024-01-23,184.45000000000002,4,26.75
STU0001,2024-01-25,193.01,4,38.25
STU0001,2024-01-26,459.74,3,62.666666666666664
STU0001,2024-01-27,225.46,4,40.5
STU0001,2024-01-28,22.1,1,27.0
STU0001,2024-01-29,114.55000000000001,3,20.333333333333332
STU0001,2024-01-30,157.57,3,23.333333333333332
STU0001,2024-02-01,123.84,1,88.0
STU0001,2024-02-02,171.82,2,49.5
STU0001,2024-02-03,286.89,2,55.0
STU0001,2024-02-04,146.81,4,21.75
STU0001,2024-02-06,441.05999999999995,3,65.0
STU0001,2024-02-07,21.9,1,9.0
STU0001,2024-02-08,168.91,1,73.0
STU0001,2024-02-09,277.49,2,49.5
STU0001,2024-02-10,321.05,3,53.0
STU0001,2024-02-11,95.27,3,26.333333333333332
STU0001,2024-02-12,59.29,1,21.0
STU0001,2024-02-14,84.03,2,21.5
STU0001,2024-02-15,222.68,2,48.0
STU0001,2024-02-16,253.08,3,35.0
STU0001,2024-02-17,425.90000000000003,3,68.0
STU0001,2024-02-18,126.13,1,82.0
STU0001,2024-02-20,175.21,2,40.5
STU0001,2024-02-21,101.77,1,67.0
STU0001,2024-02-22,49.55,1,45.0
STU0001,2024-02-23,133.65,2,34.5
STU0001,2024-02-24,197.46,2,37.5
STU0001,2024-02-25,41.26,1,57.0
STU0001,2024-02-26,94.48,1,28.0
STU0001,2024-02-28,643.9,4,93.75
STU0001,2024-02-29,307.94,3,38.666666666666664
STU0001,2024-03-01,148.75,2,64.0
STU0001,2024-03-02,218.32,2,41.5
STU0001,2024-03-03,109.94999999999999,3,29.0
STU0001,2024-03-04,535.34,3,83.33333333333333
