record_id,date,day_type,building,time_slot,consumption_kwh,meter_reading_kwh,is_exam_week,is_anomaly,month
ELEC000001,2024-01-01,weekday,Academic Block A,06-08,0.972,1325.12,False,False,January
ELEC000002,2024-01-01,weekday,Academic Block A,08-10,2.667,1327.79,False,False,January
ELEC000003,2024-01-01,weekday,Academic Block A,10-12,3.652,1331.44,False,False,January
ELEC000004,2024-01-01,weekday,Academic Block A,12-14,2.789,1334.23,False,False,January
ELEC000005,2024-01-01,weekday,Academic Block A,14-16,2.895,1337.12,False,False,January
ELEC000006,2024-01-01,weekday,Academic Block A,16-18,2.774,1339.89,False,False,January
ELEC000007,2024-01-01,weekday,Academic Block A,18-20,2.064,1341.95,False,False,January
ELEC000008,2024-01-01,weekday,Academic Block A,20-22,1.76,1343.71,False,False,January
ELEC000009,2024-01-01,weekday,Academic Block A,22-00,0.804,1344.51,False,False,January
ELEC000010,2024-01-01,weekday,Academic Block B,06-08,0.866,4799.79,False,False,January
ELEC000011,2024-01-01,weekday,Academic Block B,08-10,2.573,4802.36,False,False,January
ELEC000012,2024-01-01,weekday,Academic Block B,10-12,3.219,4805.58,False,False,January
ELEC000013,2024-01-01,weekday,Academic Block B,12-14,2.766,4808.35,False,False,January
ELEC000014,2024-01-01,weekday,Academic Block B,14-16,3.304,4811.65,False,False,January
ELEC000015,2024-01-01,weekday,Academic Block B,16-18,2.658,4814.31,False,False,January
ELEC000016,2024-01-01,weekday,Academic Block B,18-20,2.085,4816.4,False,False,January
ELEC000017,2024-01-01,weekday,Academic Block B,20-22,1.751,4818.15,False,False,January
ELEC000018,2024-01-01,weekday,Academic Block B,22-00,0.648,4818.8,False,False,January
ELEC000019,2024-01-01,weekday,Hostel Block 1,06-08,0.485,3452.18,False,False,January
ELEC000020,2024-01-01,weekday,Hostel Block 1,08-10,1.573,,False,False,January
ELEC000021,2024-01-01,weekday,Hostel Block 1,10-12,1.507,3455.26,False,False,January
ELEC000022,2024-01-01,weekday,Hostel Block 1,12-14,1.628,3456.89,False,False,January
ELEC000023,2024-01-01,weekday,Hostel Block 1,14-16,1.538,3458.43,False,False,January
ELEC000024,2024-01-01,weekday,Hostel Block 1,16-18,1.173,3459.6,False,False,January
ELEC000025,2024-01-01,weekday,Hostel Block 1,18-20,1.07,3460.67,False,False,January
ELEC000026,2024-01-01,weekday,Hostel Block 1,20-22,0.851,3461.52,False,False,January
ELEC000027,2024-01-01,weekday,Hostel Block 1,22-00,0.364,3461.88,False,False,January
ELEC000028,2024-01-01,weekday,Hostel Block 2,06-08,0.425,3200.56,False,False,January
ELEC000029,2024-01-01,weekday,Hostel Block 2,08-10,1.321,3201.88,False,False,January
