date,meal_type,food_item,pred_footfall,qty_kg_needed
2024-01-01,Breakfast,Rice/Upma,177.88,35.58
2024-01-01,Breakfast,Dal/Curry,177.88,26.68
2024-01-01,Breakfast,Bread,177.88,17.79
2024-01-01,Dinner,Rice,414.11,124.23
2024-01-01,Dinner,Dal,414.11,82.82
2024-01-01,Dinner,Sabzi,414.11,62.12
2024-01-01,Dinner,Roti,414.11,49.69
2024-01-01,Lunch,Rice,359.8,125.93
2024-01-01,Lunch,Dal,359.8,71.96
2024-01-01,Lunch,Sabzi,359.8,53.97
2024-01-01,Lunch,Roti,359.8,43.18
2024-01-01,Snacks,Tea,199.43,29.91
2024-01-01,Snacks,Snack Item,199.43,19.94
2024-01-02,Breakfast,Rice/Upma,173.36,34.67
2024-01-02,Breakfast,Dal/Curry,173.36,26.0
2024-01-02,Breakfast,Bread,173.36,17.34
2024-01-02,Dinner,Rice,403.84,121.15
2024-01-02,Dinner,Dal,403.84,80.77
2024-01-02,Dinner,Sabzi,403.84,60.58
2024-01-02,Dinner,Roti,403.84,48.46
2024-01-02,Lunch,Rice,374.98,131.24
2024-01-02,Lunch,Dal,374.98,75.0
2024-01-02,Lunch,Sabzi,374.98,56.25
2024-01-02,Lunch,Roti,374.98,45.0
2024-01-02,Snacks,Tea,222.53,33.38
2024-01-02,Snacks,Snack Item,222.53,22.25
2024-01-03,Breakfast,Rice/Upma,170.72,34.14
2024-01-03,Breakfast,Dal/Curry,170.72,25.61
2024-01-03,Breakfast,Bread,170.72,17.07
2024-01-03,Dinner,Rice,404.81,121.44
2024-01-03,Dinner,Dal,404.81,80.96
2024-01-03,Dinner,Sabzi,404.81,60.72
2024-01-03,Dinner,Roti,404.81,48.58
2024-01-03,Lunch,Rice,371.95,130.18
2024-01-03,Lunch,Dal,371.95,74.39
2024-01-03,Lunch,Sabzi,371.95,55.79
2024-01-03,Lunch,Roti,371.95,44.63
2024-01-03,Snacks,Tea,216.99,32.55
2024-01-03,Snacks,Snack Item,216.99,21.7
2024-01-04,Breakfast,Rice/Upma,168.66,33.73
2024-01-04,Breakfast,Dal/Curry,168.66,25.3
2024-01-04,Breakfast,Bread,168.66,16.87
2024-01-04,Dinner,Rice,427.99,128.4
2024-01-04,Dinner,Dal,427.99,85.6
2024-01-04,Dinner,Sabzi,427.99,64.2
2024-01-04,Dinner,Roti,427.99,51.36
2024-01-04,Lunch,Rice,375.9,131.56
2024-01-04,Lunch,Dal,375.9,75.18
2024-01-04,Lunch,Sabzi,375.9,56.38
2024-01-04,Lunch,Roti,375.9,45.11
2024-01-04,Snacks,Tea,213.37,32.01
2024-01-04,Snacks,Snack Item,213.37,21.34
2024-01-05,Breakfast,Rice/Upma,180.05,36.01
2024-01-05,Breakfast,Dal/Curry,180.05,27.01
2024-01-05,Breakfast,Bread,180.05,18.0
2024-01-05,Dinner,Rice,397.83,119.35
2024-01-05,Dinner,Dal,397.83,79.57
2024-01-05,Dinner,Sabzi,397.83,59.67
2024-01-05,Dinner,Roti,397.83,47.74
2024-01-05,Lunch,Rice,381.16,133.41
2024-01-05,Lunch,Dal,381.16,76.23
2024-01-05,Lunch,Sabzi,381.16,57.17
2024-01-05,Lunch,Roti,381.16,45.74
2024-01-05,Snacks,Tea,220.54,33.08
2024-01-05,Snacks,Snack Item,220.54,22.05
2024-01-06,Breakfast,Rice/Upma,174.2,34.84
2024-01-06,Breakfast,Dal/Curry,174.2,26.13
2024-01-06,Breakfast,Bread,174.2,17.42
2024-01-06,Dinner,Rice,415.9,124.77
2024-01-06,Dinner,Dal,415.9,83.18
2024-01-06,Dinner,Sabzi,415.9,62.38
2024-01-06,Dinner,Roti,415.9,49.91
2024-01-06,Lunch,Rice,372.34,130.32
2024-01-06,Lunch,Dal,372.34,74.47
2024-01-06,Lunch,Sabzi,372.34,55.85
2024-01-06,Lunch,Roti,372.34,44.68
2024-01-06,Snacks,Tea,227.64,34.15
2024-01-06,Snacks,Snack Item,227.64,22.76
2024-01-07,Breakfast,Rice/Upma,111.57,22.31
2024-01-07,Breakfast,Dal/Curry,111.57,16.74
2024-01-07,Breakfast,Bread,111.57,11.16
2024-01-07,Dinner,Rice,413.33,124.0
2024-01-07,Dinner,Dal,413.33,82.67
2024-01-07,Dinner,Sabzi,413.33,62.0
2024-01-07,Dinner,Roti,413.33,49.6
2024-01-07,Lunch,Rice,374.08,130.93
