Student_ID,Date,Time,Bhawan,Location,Mess_Entry_Time,Mess_Exit_Time,Library_Entry_Time,Library_Exit_Time,Leaves_Hostel,Back_Hostel,WiFi_MB,Active_Users,Electricity_Usage,Food_Category,Attendance,Auto_Taken
S1000,2026-04-16,06:29 AM,Yamuna,Outside,0,0,0,0,12:58 PM,03:43 PM,120.5,156,17.49,None,0,0
S1001,2026-04-30,06:31 PM,Rajendra,Library,0,0,05:37 PM,07:34 PM,03:58 PM,07:31 PM,807.21,79,22.45,None,0,0
S1002,2026-04-25,08:56 AM,Rajendra,Mess,08:37 AM,08:58 AM,0,0,07:49 AM,10:50 AM,465.05,27,38.18,Dinner,0,0
S1003,2026-04-07,12:38 PM,Azad,Hostel,0,0,0,0,08:49 PM,11:49 PM,917.11,192,30.36,None,0,0
S1004,2026-04-10,04:18 PM,Azad,Library,0,0,03:05 PM,05:20 PM,03:32 PM,05:56 PM,542.64,93,15.4,None,0,0
S1005,2026-04-28,12:01 AM,Azad,Hostel,0,0,0,0,01:11 PM,05:47 PM,336.02,92,21.62,None,1,0
S1006,2026-04-22,12:44 PM,Azad,Library,0,0,12:26 PM,02:29 PM,10:31 AM,03:18 PM,618.32,24,13.88,None,1,0
S1007,2026-04-15,03:11 PM,Rajendra,Library,0,0,02:24 PM,04:44 PM,02:05 PM,03:46 PM,704.82,37,17.42,None,1,0
S1008,2026-04-01,11:53 AM,Yamuna,Library,0,0,11:04 AM,11:53 AM,09:51 AM,01:05 PM,665.38,34,16.49,None,0,0
S1009,2026-04-05,02:54 PM,Rajendra,Mess,02:17 PM,03:06 PM,0,0,02:15 PM,04:38 PM,437.11,175,55.57,Dinner,0,0
S1010,2026-04-14,07:31 AM,Yamuna,Mess,07:27 AM,08:11 AM,0,0,05:03 AM,09:54 AM,368.14,80,34.72,Lunch,0,0
S1011,2026-04-06,03:35 PM,Azad,Classroom,0,0,0,0,10:36 AM,02:59 PM,246.14,127,13.95,None,1,0
S1012,2026-04-15,06:45 PM,Rajendra,Mess,06:38 PM,07:31 PM,0,0,05:44 PM,09:26 PM,421.9,93,46.67,Lunch,0,0
S1013,2026-04-15,10:22 AM,Sarojini,Mess,10:19 AM,11:12 AM,0,0,07:40 AM,12:12 PM,263.01,35,40.0,Lunch,1,1
S1014,2026-05-01,10:55 PM,Sarojini,Library,0,0,10:36 PM,11:59 PM,08:05 PM,11:20 PM,897.01,26,8.51,None,0,0
S1015,2026-04-17,09:07 AM,Sarojini,Library,0,0,09:03 AM,11:17 AM,07:59 AM,09:52 AM,918.8,174,31.43,None,0,0
