Student_ID,Date,Time,Bhawan,Location,Mess_Entry_Time,Mess_Exit_Time,Library_Entry_Time,Library_Exit_Time,Leaves_Hostel,Back_Hostel,WiFi_MB,Active_Users,Electricity_Usage,Food_Category,Attendance,Auto_Taken
S1000,2026-04-01,11:53 AM,Azad,Library,0,0,11:09 AM,12:12 PM,11:00 AM,01:05 PM,868.48,51,14.6,None,1,0
S1001,2026-04-01,09:00 PM,Yamuna,Library,0,0,07:03 PM,09:01 PM,06:33 PM,09:15 PM,688.32,132,15.87,None,0,0
S1002,2026-04-19,10:24 PM,Azad,Mess,09:57 PM,10:27 PM,0,0,0,0,283.22,26,34.93,Dinner,0,0
S1003,2026-04-03,07:15 PM,Ganga,Mess,07:11 PM,07:40 PM,0,0,0,0,371.64,63,31.23,Dinner,0,0
S1004,2026-04-06,04:43 PM,Ganga,Library,0,0,04:34 PM,06:18 PM,04:19 PM,06:30 PM,843.66,102,19.05,None,0,0
S1005,2026-04-10,06:32 PM,Azad,Library,0,0,05:37 PM,06:55 PM,05:15 PM,07:34 PM,815.75,87,18.5,None,0,0
S1006,2026-04-12,08:45 AM,Yamuna,Outside,0,0,0,0,06:58 AM,10:36 AM,163.77,12,1.22,None,0,0
S1007,2026-04-28,02:56 PM,Ganga,Mess,02:48 PM,03:22 PM,0,0,0,0,594.97,99,34.51,Lunch,0,0
S1008,2026-04-16,07:33 AM,Yamuna,Mess,07:26 AM,08:26 AM,0,0,0,0,476.98,88,40.96,Breakfast,0,0
S1009,2026-04-12,09:01 PM,Ganga,Mess,08:06 PM,09:01 PM,0,0,0,0,355.04,164,46.55,Dinner,0,0
S1010,2026-04-23,12:48 PM,Azad,Mess,12:20 PM,12:58 PM,0,0,0,0,523.94,119,50.84,Lunch,1,0
S1011,2026-04-08,10:53 AM,Yamuna,Outside,0,0,0,0,10:13 AM,01:47 PM,166.41,141,14.98,None,1,1
S1012,2026-04-29,08:50 PM,Yamuna,Outside,0,0,0,0,08:16 PM,11:24 PM,255.8,37,3.96,None,0,0
S1013,2026-04-13,05:08 AM,Yamuna,Hostel,0,0,0,0,0,0,274.31,19,12.69,None,0,0
S1014,2026-04-13,08:56 PM,Yamuna,Library,0,0,06:19 PM,09:03 PM,06:11 PM,09:50 PM,811.5,112,14.81,None,0,0
S1015,2026-04-06,10:49 PM,Rajendra,Library,0,0,10:40 PM,11:20 PM,10:35 PM,11:51 PM,634.29,73,15.33,None,0,0
S1016,2026-04-17,12:47 AM,Yamuna,Hostel,0,0,0,0,0,0,388.8,90,16.98,None,0,0
S1017,2026-04-23,06:01 AM,Yamuna,Outside,0,0,0,0,04:47 AM,08:19 AM,299.26,115,8.81,None,0,0
S1018,2026-04-09,09:12 PM,Azad,Hostel,0,0,0,0,0,0,1350.2,39,27.1,None,0,0
S1019,2026-04-03,01:50 AM,Azad,Hostel,0,0,0,0,0,0,239.31,110,31.36,None,0,0
S1020,2026-04-04,09:49 PM,Rajendra,Mess,09:04 PM,09:50 PM,0,0,0,0,482.41,38,42.06,Dinner,0,0
S1021,2026-04-06,01:59 PM,Rajendra,Library,0,0,01:47 PM,04:17 PM,01:42 PM,04:38 PM,913.17,88,15.65,None,0,0
S1022,2026-04-22,01:36 PM,Azad,Library,0,0,01:24 PM,03:17 PM,01:15 PM,04:12 PM,726.92,34,14.84,None,1,0
S1023,2026-04-06,07:09 PM,Rajendra,Library,0,0,06:51 PM,08:55 PM,06:45 PM,09:16 PM,748.71,34,17.27,None,0,0
S1024,2026-04-25,04:12 PM,Yamuna,Library,0,0,03:38 PM,04:35 PM,03:13 PM,04:50 PM,599.87,182,19.51,None,0,0
S1025,2026-04-25,12:42 PM,Ganga,Classroom,0,0,0,0,12:27 PM,02:04 PM,397.51,149,15.22,None,1,0
S1026,2026-04-20,05:27 AM,Sarojini,Outside,0,0,0,0,03:34 AM,06:33 AM,327.72,156,14.51,None,0,0
S1027,2026-04-29,12:57 PM,Rajendra,Mess,12:51 PM,01:44 PM,0,0,0,0,536.68,173,44.87,Lunch,0,0
S1028,2026-04-27,07:11 PM,Azad,Outside,0,0,0,0,05:38 PM,09:21 PM,336.12,62,5.97,None,0,0
S1029,2026-04-22,08:57 PM,Rajendra,Library,0,0,08:11 PM,10:07 PM,07:47 PM,11:03 PM,632.46,78,19.5,None,0,0
S1030,2026-04-03,03:46 PM,Ganga,Library,0,0,03:30 PM,05:59 PM,03:07 PM,06:49 PM,474.19,170,27.58,None,1,0
S1031,2026-04-07,07:44 AM,Yamuna,Mess,07:32 AM,07:59 AM,0,0,0,0,331.33,88,33.88,Breakfast,0,0
S1032,2026-04-05,07:44 PM,Yamuna,Library,0,0,06:30 PM,09:19 PM,06:23 PM,09:55 PM,826.95,159,32.44,None,0,0
S1033,2026-04-29,01:46 PM,Yamuna,Mess,01:31 PM,02:26 PM,0,0,0,0,396.28,45,26.84,Lunch,0,0
S1034,2026-04-11,01:19 PM,Azad,Mess,01:19 PM,01:44 PM,0,0,0,0,500.7,54,27.18,Lunch,0,0
S1035,2026-04-28,10:01 PM,Yamuna,Outside,0,0,0,0,08:58 PM,11:09 PM,354.76,83,5.09,None,0,0
S1036,2026-04-07,11:55 AM,Azad,Library,0,0,11:32 AM,12:22 PM,11:24 AM,12:44 PM,1064.05,75,19.44,None,0,0
S1037,2026-04-04,08:29 PM,Sarojini,Mess,07:59 PM,08:36 PM,0,0,0,0,343.63,112,35.16,Dinner,0,0
S1038,2026-04-22,11:26 PM,Azad,Hostel,0,0,0,0,0,0,1084.5,95,27.07,None,0,0
S1039,2026-04-15,01:02 PM,Azad,Library,0,0,11:24 AM,01:47 PM,11:10 AM,02:31 PM,543.85,86,18.58,None,1,0
